,English name,Country,Start date,Yearly budget
192,Norwegian participation in HORIZON EUROPE,Norway,2021,170275380
193,Gudance on the development and use of AI in the public sector,Norway,2022,516789
194,Norwegian participation in Digital Europe Programme,Norway,2021,43023851
195,GAMEINN,Poland,2016,44061981
196,POLAND-TAIWAN SCIENTIFIC CO-OPERATION,Poland,2012,3715
197,AI PORTUGAL 2030 - NATIONAL STRATEGY FOR AI,Portugal,2019,2811545
198,MOBILIZING PROGRAM TO FOSTER AI IN THE PUBLIC ADMINISTRATION,Portugal,2018,104632
199,AI USE CASES IN THE PORTUGUESE PUBLIC SECTOR,Portugal,2018,11212974
200,PHD AND POSTDOCTURAL AI SCHOLARSHIPS,Portugal,2022,11243212
201,DOCTORAL GRADUATES' EMPLOYMENT,Portugal,2017,1427727
202,R&D programme on data science and AI in Public Administration,Portugal,2018,4015465
203,Calls for High Performance Computing R&D projects: artificial intelligence on the cloud in collaboration with Google,Portugal,2022,4929900
204,Council for Information and Communication Technologies in Public Administration,Portugal,2016,494680
205,AI4PA - Artificial Inteligence and Data Science for Public Administration,Portugal,2023,4966002
206,STRATEGY FOR THE DEVELOPMENT OF AI IN THE REPUBLIC OF SERBIA FOR THE PERIOD 2020-2025,Serbia,2020,18853512
207,AI INSTITUTE,Serbia,2020,413416
208,PROGRAM FOR THE DEVELOPMENT OF PROJECTS IN THE AREA OF AI,Serbia,2020,4123659
209,AI MASTER PROGRAMMES,Serbia,2020,37826
210,INNOVATION FUND SERBIA,Serbia,2011,5713116
211,STATE DATA CENTER,Serbia,2017,17161723
212,NATIONAL AI PLATFORM,Serbia,2021,45122750
213,AI IN PRIMARY EDUCATION,Serbia,2017,54944
214,AI IN SECONDARY EDUCATION,Serbia,2021,347344
215,CHAMBER OF COMMERCE AND INDUSTRY OF SERBIA - CENTRE FOR DIGITAL TRANSFORMATION (NATIONAL PROJECT FOR DIGITAL TRANSFORMATION OF BUSINESS),Serbia,2019,865992
216,"ETHICAL GUIDELINES FOR DEVELOPMENT, IMPLEMENTATION, AND USE OF ROBUST AND ACCOUNTABLE AI",Serbia,2022,508032
217,OFFICE FOR IT AND EGOVERNMENT,Serbia,2017,4614459
218,SCIENCE FUND OF THE REPUBLIC OF SERBIA,Serbia,2022,18640898
219,UNDP SUPPORT FOR AI,Serbia,2021,2906138
220,AI Education Programme in Public Administration,Serbia,2018,479315
221,International Cooperation - Korea-Serbia Digital Government Cooperation Center,Serbia,2020,514673
222,International Cooperation - World Bank - SAIGE,Serbia,2022,26405071
223,"The Ministry of Science, Technological Development and Innovation",Serbia,2022,6724939
224,"STATE R&D PROGRAMS, STATE R&D INFRASTRUCTURE DEVELOPMENT PROGRAMS AND SRDA PROGRAMS",Slovak Republic,2005,21354986
225,National AI programme of Slovenia,Slovenia,2021,183192047
226,VEGA HPC super computer,Slovenia,2019,17475980
227,International Research Centre for AI under the auspices of UNESCO,Slovenia,2020,788138
228,NpUI Government working group,Slovenia,2022,796773
229,Slovenian AI Observatory,Slovenia,2021,245285
230,Interministerial working group for AI regulation,Slovenia,2021,974858
231,Interministerial working group for Council of Europe Convention on AI,Slovenia,2023,886451
232,Defining a framework to ensure public trust in AI solutions based on different socio-technological factors,Slovenia,2022,147318
233,Transformation of work because of AI,Slovenia,2022,49749
234,Demonstration of the use of artificial intelligence for teaching different subjects in primary and secondary schools,Slovenia,2022,2747115
235,Definition of a model of indicators for monitoring the potential of AI deployment in Slovenia,Slovenia,2022,583412
236,Mechanisms for attracting foreign and returning domestic experts to strengthen Slovenia's position in global digitisation trends,Slovenia,2022,353519
237,"Establishing protocols for the use of text and speech resources for the development of speech and semantic technologies, taking into account privacy and the protection of personal data",Slovenia,2022,110041
238,AI SWEDEN,Sweden,2019,1852644
239,DATA FACTORY,Sweden,2019,3081826
240,NATIONAL APPROACH TO AI,Sweden,2018,21552
241,SWEDISH NATIONAL DIGITALISATION COUNCIL,Sweden,2023,61083355
242,COMMITTEE FOR TECHNOLOGICAL INNOVATION AND ETHICS,Sweden,2018,3801635
243,AI COMPETENCE FOR SWEDEN,Sweden,2018,74010585
244,DIGITAL EXCELLENCE,Sweden,2019,5119163
245,AI AGENDA FOR SWEDEN,Sweden,2019,73104
246,BIG DATA ANALYSIS,Sweden,2019,13971
247,GOVERNMENT ASSIGNMENT ON SMEs AND DATA AS A STRATEGIC RESOURCE,Sweden,2019,503770
248,GOVERNMENT ASSIGNMENT TO PROMOTE THE PUBLIC ADMINISTRATION'S ABILITY TO USE AI,Sweden,2021,71419
249,AI Commission,Sweden,2024,272736
250,EU AI Act,Sweden,2024,629500
251,Work on upcoming Swedish Digitalisation Strategy incl. AI,Sweden,2024,285690
